Drop Week End,Drop %,Next Monday,Monday Open %,Monday Close %
1929-10-25,-9.43134292289669,1929-10-28,-12.940279324334183,-12.940279324334183
1929-11-08,-12.298133996969584,1929-11-11,-6.232293086896947,-6.232293086896947
1930-06-20,-9.029650531062938,1930-06-23,-0.7901227032696758,-0.7901227032696758
1931-09-18,-9.692668108025071,1931-09-21,-4.624779504423908,-4.624779504423908
1931-10-02,-11.172163539424195,1931-10-05,-9.072166306646412,-9.072166306646412
1931-11-20,-8.115670372088646,1931-11-23,-1.5228483898008731,-1.5228483898008731
1932-04-01,-8.651403226780053,1932-04-04,-1.6713076382739795,-1.6713076382739795
1932-04-08,-12.81336520128672,1932-04-11,-3.0351445730601334,-3.0351445730601334
1932-05-13,-8.045980881414284,1932-05-16,0.17857551878819328,0.17857551878819328
1932-09-16,-13.485712323869981,1932-09-19,-3.038309297990525,-3.038309297990525
1932-10-07,-13.118811296886134,1932-10-10,-8.547007211720521,-8.547007211720521
1933-07-21,-18.56540668454051,1933-07-24,8.808294456691247,8.808294456691247
1933-10-20,-10.050768390374042,1933-10-23,1.8058781860769357,1.8058781860769357
1934-07-27,-9.186904551503694,1934-07-30,0.8139499037121659,0.8139499037121659
1937-09-10,-8.214750676778737,1937-09-13,0.28188839348751316,0.28188839348751316
1937-09-24,-9.402882047044624,1937-09-27,3.2575781165842304,3.2575781165842304
1937-11-19,-11.754824823398092,1937-11-22,-2.4738365672661597,-2.4738365672661597
1938-03-25,-8.243368336644973,1938-03-28,-0.8556141223759102,-0.8556141223759102
1939-03-31,-9.030656007848116,1939-04-03,2.5500974345986105,2.5500974345986105
1940-05-17,-15.391159731200087,1940-05-20,-1.608038698283415,-1.608038698283415
1986-09-12,-8.62461398153206,1986-09-15,1.3989668931514436,0.3060229655643155
1987-10-16,-9.470370804716255,1987-10-19,-20.133558854688854,-20.13710904907149
1987-10-23,-13.768114528078346,1987-10-26,-6.216014450216891,-6.38490704841548
2000-04-14,-10.7863605241314,2000-04-17,4.631918460605347,0.5300862667255418
2001-09-21,-11.964778595068159,2001-09-24,6.213285229640778,2.2281013805735643
2008-10-10,-23.52523570850614,2008-10-13,19.4748737997467,8.68659362555447
2008-11-21,-14.81353573231311,2008-11-24,14.951010108664352,8.12123709071309
2009-02-20,-8.59902571263338,2009-02-23,-1.4477935578596288,-1.5750752247679813
2009-03-06,-9.220993261304123,2009-03-09,1.4607375021362168,0.9133350914309948
2011-08-05,-8.946418225040965,2011-08-08,-4.163207142068137,-4.1786110617909324
2018-02-09,-8.234873267080278,2018-02-12,4.868738828933926,3.5440583664886622
2020-02-28,-14.199097784686664,2020-03-02,8.207388556942963,3.1286714509852134
2020-03-13,-14.10181890880281,2020-03-16,-4.262618687423767,-4.470851861560301
